Restult = 8571.8, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 5
Restult = 9218.29, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 6
Restult = 8616.92, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 7
Restult = 9118.06, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 8
Restult = 9625.2, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 9
Restult = 9699.0, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 10
Restult = 10374.45, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 1
Restult = 9812.44, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 2
Restult = 10262.39, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 3
Restult = 8936.63, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 4
Restult = 10000.17, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 5
Restult = 9789.61, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 6
Restult = 10056.05, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 7
Restult = 10249.84, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 8
Restult = 9744.53, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 9
Restult = 10807.07, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 80, multiplier = 10
Restult = 10982.43, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 1
Restult = 11183.94, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 2
Restult = 10881.46, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 3
Restult = 11839.16, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 4
Restult = 10754.97, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 5
Restult = 10852.67, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 6
Restult = 10911.46, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 7
Restult = 11609.17, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 8
Restult = 10911.16, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 9
Restult = 11313.28, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 120, multiplier = 10
Restult = 12683.46, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 1
Restult = 11953.08, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 2
Restult = 12324.0, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 3
Restult = 12564.76, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 4
Restult = 12470.3, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 5
Restult = 12495.85, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 6
Restult = 11700.93, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 7
Restult = 12422.48, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 8
Restult = 11984.99, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 9
Restult = 11128.62, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 160, multiplier = 10
Restult = 13565.66, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 1
Restult = 13242.54, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 2
Restult = 13546.31, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 3
Restult = 13356.05, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 4
Restult = 14007.77, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 5
Restult = 12380.62, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 6
Restult = 13938.53, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 7
Restult = 14366.87, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 8
Restult = 11276.15, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 9
Restult = 12376.95, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 200, multiplier = 10
